"'Come	Tolstoy.tar.gz:1 
"'Dieu	Tolstoy.tar.gz:1 
"'Nothing,'"	Tolstoy.tar.gz:1 
"'Told	Tolstoy.tar.gz:1 
"--announcing	Tolstoy.tar.gz:1 
"About	Tolstoy.tar.gz:12 
"Adopted	Tolstoy.tar.gz:1 
"Afraid	Tolstoy.tar.gz:3 
"Afterwards,	Tolstoy.tar.gz:1 
"Alexey's	Tolstoy.tar.gz:1 
"All	Tolstoy.tar.gz:81 
"Am	Tolstoy.tar.gz:9 
"Anatole	Tolstoy.tar.gz:1 
"Andrusha."	Tolstoy.tar.gz:1 
"Angel!	Tolstoy.tar.gz:1 
"Anyhow,	Tolstoy.tar.gz:1 
"Anything,	Tolstoy.tar.gz:1 
"Arhip	Tolstoy.tar.gz:1 
"Arseny	Tolstoy.tar.gz:1 
"Asks	Tolstoy.tar.gz:1 
"Assure	Tolstoy.tar.gz:1 
"At	Tolstoy.tar.gz:31 
"Att-ention!"	Tolstoy.tar.gz:1 
"Aye,	Tolstoy.tar.gz:1 
"Bad!	Tolstoy.tar.gz:2 
"Beauty"	Tolstoy.tar.gz:1 
"Behind	Tolstoy.tar.gz:1 
"Believe	Tolstoy.tar.gz:4 
"Besides,"	Tolstoy.tar.gz:1 
"Betsy's	Tolstoy.tar.gz:1 
"Booby"	Tolstoy.tar.gz:1 
"Both	Tolstoy.tar.gz:1 
"Bravo!	Tolstoy.tar.gz:3 
"Bravo!"	Tolstoy.tar.gz:1 
"Brigand!	Tolstoy.tar.gz:2 
"Brothers!	Tolstoy.tar.gz:2 
"Brought	Tolstoy.tar.gz:1 
"Burdino,	Tolstoy.tar.gz:1 
"Bwing	Tolstoy.tar.gz:2 
"Call	Tolstoy.tar.gz:6 
"Charming,	Tolstoy.tar.gz:1 
"Clear	Tolstoy.tar.gz:2 
"Come!	Tolstoy.tar.gz:2 
"Commit	Tolstoy.tar.gz:1 
"Consider	Tolstoy.tar.gz:1 
"Contez	Tolstoy.tar.gz:1 
"Count	Tolstoy.tar.gz:11 
"Count!	Tolstoy.tar.gz:5 
"Count!"	Tolstoy.tar.gz:1 
"Countess	Tolstoy.tar.gz:3 
"Crazy?"	Tolstoy.tar.gz:1 
"Daniel!"	Tolstoy.tar.gz:1 
"Darling,	Tolstoy.tar.gz:1 
"Daryalov	Tolstoy.tar.gz:1 
"Day	Tolstoy.tar.gz:1 
"Dear-est!"	Tolstoy.tar.gz:2 
"Death!"	Tolstoy.tar.gz:1 
"Decide	Tolstoy.tar.gz:1 
"Delighted	Tolstoy.tar.gz:4 
"Delighted,"	Tolstoy.tar.gz:3 
"Delightful!	Tolstoy.tar.gz:1 
"Denisov,	Tolstoy.tar.gz:2 
"Devil	Tolstoy.tar.gz:4 
"Dieu!	Tolstoy.tar.gz:1 
"Dine	Tolstoy.tar.gz:1 
"Directly!	Tolstoy.tar.gz:1 
"Discharge	Tolstoy.tar.gz:1 
"Disgusting,	Tolstoy.tar.gz:1 
"Do,	Tolstoy.tar.gz:1 
"Don't,	Tolstoy.tar.gz:5 
"Drinks	Tolstoy.tar.gz:1 
"Dronushka."	Tolstoy.tar.gz:1 
"Drubetskoy	Tolstoy.tar.gz:1 
"Duport!	Tolstoy.tar.gz:1 
"Eh?	Tolstoy.tar.gz:7 
"Enoch,	Tolstoy.tar.gz:1 
"Enough,	Tolstoy.tar.gz:3 
"Even	Tolstoy.tar.gz:12 
"Every	Tolstoy.tar.gz:4 
"Everything's	Tolstoy.tar.gz:3 
"Father,	Tolstoy.tar.gz:3 
"Fo'ward,	Tolstoy.tar.gz:1 
"Follow	Tolstoy.tar.gz:1 
"Folly...	Tolstoy.tar.gz:1 
"Fool...	Tolstoy.tar.gz:1 
"Forage	Tolstoy.tar.gz:1 
"Forgive	Tolstoy.tar.gz:12 
"French	Tolstoy.tar.gz:1 
"Friends	Tolstoy.tar.gz:1 
"Gabions	Tolstoy.tar.gz:1 
"Give	Tolstoy.tar.gz:23 
"Going	Tolstoy.tar.gz:3 
"Good,	Tolstoy.tar.gz:1 
"Good-bye	Tolstoy.tar.gz:3 
"Goodness	Tolstoy.tar.gz:1 
"Gracious	Tolstoy.tar.gz:1 
"Granddad."	Tolstoy.tar.gz:2 
"Hail	Tolstoy.tar.gz:1 
"Halt!	Tolstoy.tar.gz:1 
"Hand	Tolstoy.tar.gz:2 
"He'll	Tolstoy.tar.gz:4 
"Helene,	Tolstoy.tar.gz:2 
"Help	Tolstoy.tar.gz:2 
"Here	Tolstoy.tar.gz:37 
"Here,"	Tolstoy.tar.gz:1 
"Idiotic!	Tolstoy.tar.gz:1 
"Imagine!	Tolstoy.tar.gz:2 
"Impossible,	Tolstoy.tar.gz:1 
"It's	Tolstoy.tar.gz:231 
"July,	Tolstoy.tar.gz:1 
"Ke..."	Tolstoy.tar.gz:1 
"Kind...ly	Tolstoy.tar.gz:1 
"Kings"	Tolstoy.tar.gz:1 
"Kostya	Tolstoy.tar.gz:1 
"L'Urope"	Tolstoy.tar.gz:1 
"La	Tolstoy.tar.gz:2 
"Later...	Tolstoy.tar.gz:1 
"Lieutenant	Tolstoy.tar.gz:1 
"Listen!"	Tolstoy.tar.gz:2 
"Listen,	Tolstoy.tar.gz:2 
"Looks	Tolstoy.tar.gz:1 
"Love	Tolstoy.tar.gz:3 
"Love,"	Tolstoy.tar.gz:1 
"Love?	Tolstoy.tar.gz:2 
"Luckily	Tolstoy.tar.gz:1 
"Madame,	Tolstoy.tar.gz:1 
"Makar	Tolstoy.tar.gz:1 
"Maman	Tolstoy.tar.gz:1 
"Maman's	Tolstoy.tar.gz:1 
"Mark	Tolstoy.tar.gz:1 
"Mary	Tolstoy.tar.gz:3 
"Mary,"	Tolstoy.tar.gz:4 
"Matvevna's"	Tolstoy.tar.gz:1 
"Me	Tolstoy.tar.gz:2 
"Mind,	Tolstoy.tar.gz:5 
